iter	MultiClass
190	0.4154566416
191	0.4142025326
192	0.4135096704
193	0.4128034146
194	0.4118673499
195	0.4110473048
196	0.4101818722
197	0.4080589749
198	0.4065311585
199	0.4047723975
200	0.4034243528
201	0.4021267235
202	0.4009092728
203	0.3991938158
204	0.3982518831
205	0.3961807549
206	0.3950212782
207	0.3939746935
208	0.3928786702
209	0.391693686
210	0.3902483023
211	0.3893060411
212	0.3882502409
213	0.3870068768
214	0.3860850942
215	0.384924955
216	0.3829452482
217	0.3820607946
218	0.3808777317
219	0.380064361
220	0.3792866359
221	0.3777062255
222	0.3766342364
223	0.3752873169
224	0.3745750813
225	0.3737461867
226	0.3727874299
227	0.3719515097
228	0.3709216678
229	0.3695651978
230	0.3687027416
231	0.3671134889
232	0.3666116491
233	0.3648840713
234	0.3640263624
235	0.3632556348
236	0.3625756088
237	0.3613510058
238	0.3598335416
239	0.3587474448
240	0.3574692894
241	0.3568053867
242	0.3559326272
243	0.3543341032
244	0.3527383684
245	0.3515657913
246	0.3504464289
247	0.3494606006
248	0.3482703985
249	0.3474215315
250	0.346787201
251	0.3461459305
252	0.3444562389
253	0.3437160464
254	0.3423724322
255	0.3414934444
256	0.3410344188
257	0.3398129383
258	0.3388646172
259	0.3380944961
260	0.3374011132
261	0.3369876925
262	0.3358044228
263	0.3348108199
264	0.333826968
265	0.3331028333
266	0.3320662418
267	0.3311861377
268	0.3302527786
269	0.3297675124
270	0.3291903234
271	0.3283789104
272	0.3276825955
273	0.326775157
274	0.3261488569
275	0.3251984827
276	0.324244978
277	0.3233434615
278	0.3225730219
279	0.3217868434
280	0.3214241313
281	0.3207146256
282	0.3200698745
283	0.3195482978
284	0.31861581
285	0.3180787841
286	0.3168446122
287	0.3157629395
288	0.3146952951
289	0.3140914493
290	0.3132961085
291	0.3123354687
292	0.3111606737
293	0.309950998
294	0.3092003214
295	0.3083203969
296	0.3077405719
297	0.3072317193
298	0.3064332926
299	0.3058665323
300	0.3055546989
301	0.3047893069
302	0.3037306525
303	0.3025829623
304	0.3012644329
305	0.3004222975
306	0.2995445875
307	0.2986060629
308	0.2980944805
309	0.2972847166
310	0.2970312024
311	0.2963336371
312	0.2957373165
313	0.2950439752
314	0.2943239729
315	0.2937276039
316	0.2933293653
317	0.2930142125
318	0.2919090581
319	0.2912585691
320	0.290661314
321	0.290018125
322	0.2887302273
323	0.2880454277
324	0.2875266253
325	0.286640116
326	0.2859676756
327	0.2854233009
328	0.2848826345
329	0.2842849372
330	0.2837043499
331	0.2831362118
332	0.2819678481
333	0.2814423899
334	0.2805277974
335	0.2799944229
336	0.279121734
337	0.2786475945
338	0.2777907148
339	0.2772857213
340	0.2766012882
341	0.2758962201
342	0.2752370676
343	0.2745657808
344	0.2738318008
345	0.2732161887
346	0.2726021146
347	0.2717940755
348	0.270699231
349	0.2701455717
350	0.2696518889
351	0.2682817765
352	0.2678268695
353	0.2673368683
354	0.2666977428
355	0.2662529292
356	0.2655195249
357	0.2652404007
358	0.2643704513
359	0.2636357249
360	0.2627966652
361	0.2621297398
362	0.261404388
363	0.2610302386
364	0.2604404977
365	0.2599137695
366	0.2593101725
367	0.258715715
368	0.2578580248
369	0.2573792215
370	0.2567490979
371	0.2562362038
372	0.2556621505
373	0.2552187862
374	0.2542234871
375	0.2534108128
376	0.2525989943
377	0.2520337983
378	0.2516068816
379	0.2511670716
380	0.2505037368
381	0.2499905933
382	0.2493892182
383	0.24881326
384	0.2479957678
385	0.2474532319
386	0.246651264
387	0.2462068875
388	0.2455699804
389	0.2449796418
390	0.2445028213
391	0.2440325983
392	0.2435938252
393	0.2434190567
394	0.2429525327
395	0.2425710255
396	0.2420149726
397	0.2414570103
398	0.2409712453
399	0.2405083543
400	0.2399419718
401	0.2393171446
402	0.2390322156
403	0.2381420637
404	0.2375981505
405	0.2368224336
406	0.2360135047
407	0.2356553379
408	0.2352415286
409	0.2347926284
410	0.2342416684
411	0.2338508474
412	0.2332173524
413	0.2330274771
414	0.2326921364
415	0.2321217522
416	0.2314946735
417	0.2309831371
418	0.2305570346
419	0.2302723823
420	0.2298402752
421	0.2292366286
422	0.2287442666
423	0.2282628102
424	0.2275664211
425	0.2271244289
426	0.2265624657
427	0.2262945639
428	0.2259153883
429	0.225775309
430	0.2252781682
431	0.2249478732
432	0.2245372175
433	0.224109351
434	0.2237130812
435	0.2232988788
436	0.2228943551
437	0.2222225574
438	0.2215533858
439	0.221175708
440	0.2209323578
441	0.220549206
442	0.2200208831
443	0.2196283431
444	0.2189010831
445	0.2186196201
446	0.2184300028
447	0.218076137
448	0.2175041419
449	0.2171961061
450	0.2164895777
451	0.2162428872
452	0.2157403849
453	0.2153011613
454	0.2148655534
455	0.2143614192
456	0.2141998173
457	0.2137727832
458	0.2132244054
459	0.2127875196
460	0.2122768668
461	0.2120219668
462	0.2117566396
463	0.2111103371
464	0.2109203577
465	0.2105648988
466	0.2102807796
467	0.2100918333
468	0.2096692296
469	0.2094005106
470	0.2090427159
471	0.2087595929
472	0.2084051314
473	0.2079405455
474	0.2075844667
475	0.2071685647
476	0.2066978277
477	0.206327355
478	0.2059959293
479	0.2055283692
480	0.2051250053
481	0.2047259243
482	0.2041978321
483	0.2037435703
484	0.2032535498
485	0.2028237696
486	0.2024646728
487	0.2021217302
488	0.2017109846
489	0.2013085965
490	0.200671751
491	0.1999705284
492	0.1996101133
493	0.1993454018
494	0.1989573719
495	0.1983593912
496	0.1979822761
497	0.1974076754
498	0.1970544413
499	0.1963976629
